entry_index	manifest_line	key	path	status	context	source	target	source_state	expected_count	source_count	target_count	decision	confidence	risk_tags	public_rc_rows	token_status	glossary_status	copy_status	functional_status	notes
1	7		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Already have an account? 	已有账号？	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
2	14		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Log in	登录	target-present		0	1	simulated-accepted-with-note	medium	auth-login		clean	clean	clean	clean	none
3	21		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Welcome to Warp	欢迎使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
4	28		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	A modern terminal with state of the art agents built in.	内置先进 Agent 的现代终端。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
5	35		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get started	开始使用	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
6	42		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Welcome to Warp	欢迎使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
7	49		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	How do you want to work?	你想如何使用 Warp？	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
8	56		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Build faster with AI agents	使用 AI Agent 更快构建	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
9	63		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	An agent-first experience with best in class terminal support. Get terminal and agent driven development AI features like:	Agent 优先体验，并保留一流终端能力。启用终端与 Agent 驱动开发功能：	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
10	70		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Just use the terminal	只使用终端	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
11	77		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	No AI features	不启用 AI 功能	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
12	84		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	A modern terminal optimized for speed, context, and control without AI.	一个重视速度、上下文和掌控感的现代终端，不启用 AI。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none
13	91		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
14	98		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
15	105		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none
16	112		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize your Warp	自定义 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
17	119		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tailor your features and UI to your working style.	按你的工作方式调整功能和界面。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
18	126		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tab styling	标签页样式	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
19	133		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Vertical	垂直	target-and-source-present		4	1	simulated-accepted	high			clean	clean	clean	clean	none
20	140		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Horizontal	水平	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
21	147		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Conversation history	对话历史	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none
22	154		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	File explorer	文件浏览器	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
23	161		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Global file search	全局文件搜索	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
24	168		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Tools panel	工具面板	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
25	175		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Code review	代码审查	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
26	182		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Enabled	启用	target-and-source-present		8	2	simulated-accepted	high			clean	clean	clean	clean	none
27	189		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Disabled	禁用	target-present		0	2	simulated-accepted-with-note	medium	destructive-action		clean	clean	clean	clean	none
28	196		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
29	203		crates/onboarding/src/slides/customize_slide.rs	active	Legacy reviewed zh-Hans localization entry	Back	返回	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none
30	210		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Customize your Warp Agent	自定义 Warp Agent	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
31	217		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Select your in-app agent's defaults.	设置内置 Agent 的默认行为。	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
32	224		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Default model	默认模型	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none
33	231		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Recommended	推荐	target-and-source-present		1	1	simulated-accepted	high			clean	clean	clean	clean	none
34	238		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Premium	高级	target-and-source-present		2	3	simulated-accepted	high			clean	clean	clean	clean	none
35	245		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Autonomy	自主程度	target-and-source-present		28	3	simulated-accepted	high			clean	clean	clean	clean	none
36	252		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Set by Team Workspace	由团队工作区设置	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
37	259		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Autonomy settings are configured as part of your team workspace.	自主程度设置由团队工作区统一配置。	target-present		0	1	simulated-accepted-with-note	medium	team-workspace		clean	clean	clean	clean	none
38	266		crates/onboarding/src/slides/agent_slide.rs	active	Legacy reviewed zh-Hans localization entry	Full	完全	target-and-source-present		11	1	simulated-accepted	high			clean	clean	clean	clean	none
