entry_index	manifest_line	key	path	status	context	source	target	source_state	expected_count	source_count	target_count	decision	confidence	risk_tags	public_rc_rows	token_status	glossary_status	copy_status	functional_status	notes	module	module_group	source_length	target_length	length_ratio	machine_copy_score	mojibake_status	ui_density_risk	review_lane
1	7		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Already have an account? 	已有账号？	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	25	5	0.2	2	clean	clean	accepted
2	14		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Log in	登录	target-present		0	1	simulated-accepted-with-note	medium	auth-login		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	6	2	0.33	2	clean	clean	accepted
3	21		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Welcome to Warp	欢迎使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	15	9	0.6	2	clean	clean	accepted
4	28		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	A modern terminal with state of the art agents built in.	内置先进 Agent 的现代终端。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	56	17	0.3	2	clean	clean	accepted
5	35		crates/onboarding/src/slides/intro_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get started	开始使用	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	4	0.36	2	clean	clean	accepted
6	42		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Welcome to Warp	欢迎使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	15	9	0.6	2	clean	clean	accepted
7	49		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	How do you want to work?	你想如何使用 Warp？	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	24	12	0.5	2	clean	clean	accepted
8	56		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Build faster with AI agents	使用 AI Agent 更快构建	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	27	16	0.59	2	clean	clean	accepted
9	63		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	An agent-first experience with best in class terminal support. Get terminal and agent driven development AI features like:	Agent 优先体验，并保留一流终端能力。启用终端与 Agent 驱动开发功能：	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	122	40	0.33	2	clean	clean	accepted
10	70		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Just use the terminal	只使用终端	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	21	5	0.24	2	clean	clean	accepted
11	77		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	No AI features	不启用 AI 功能	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	14	9	0.64	2	clean	clean	accepted
12	84		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	A modern terminal optimized for speed, context, and control without AI.	一个重视速度、上下文和掌控感的现代终端，不启用 AI。	target-present		0	1	simulated-accepted-with-note	medium	terminal-command		clean	clean	clean	clean	none	crates/onboarding/src	onboarding	71	27	0.38	2	clean	clean	accepted
13	91		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Get Warping	开始使用 Warp	target-present		0	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	11	9	0.82	2	clean	clean	accepted
14	98		crates/onboarding/src/slides/intention_slide.rs	active	Legacy reviewed zh-Hans localization entry	Next	下一步	target-and-source-present		3	1	simulated-accepted	high			clean	clean	clean	clean	none	crates/onboarding/src	onboarding	4	3	0.75	2	clean	clean	accepted
