entry_index	manifest_line	module_group	path	source_state	source	target	decision	rationale
236	1722	onboarding	crates/onboarding/src/lib.rs	target-and-source-present	Warp Drive	Warp Drive	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
306	2212	other-reviewed	app/src/app_menus.rs	target-and-source-present	Drive	Drive	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
428	3068	workspace	app/src/workspace/view.rs	target-and-source-present	Agent	Agent	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
453	3243	workspace	app/src/workspace/view.rs	target-and-source-present	Slack	Slack	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
499	3565	workspace	app/src/workspace/view.rs	target-and-source-present	Warp Essentials	Warp Essentials	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
1215	8598	settings	app/src/settings_view/warpify_page.rs	target-and-source-present	SSH Warpification	SSH Warpification	intentional-preserve-command-code-token	Command, placeholder, code, path, format, endpoint, or protocol token should remain stable.
1226	8675	settings	app/src/settings_view/warpify_page.rs	target-and-source-present	Warpify	Warpify	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
1294	9151	settings	app/src/settings_view/ai_page.rs	target-and-source-present	Warp Agent	Warp Agent	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
1397	9872	settings	app/src/settings_view/ai_page.rs	target-and-source-present	Cloud Handoff	Cloud Handoff	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
1684	11881	settings	app/src/settings_view/platform_page.rs	target-and-source-present	Agent	Agent	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
1698	11979	settings	app/src/settings_view/platform/create_api_key_modal.rs	target-and-source-present	Agent	Agent	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
2001	14100	other-reviewed	app/src/tab_configs/session_config.rs	target-and-source-present	Worktree	Worktree	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
2219	15626	ai-agent	app/src/ai/agent_management/view.rs	target-and-source-present	Agent	Agent	intentional-preserve-product-provider-term	Glossary/product/provider term is intentionally preserved.
2274	16011	ai-agent	app/src/ai/blocklist/agent_view/agent_input_footer/mod.rs	target-and-source-present	Rich Input	Rich Input	intentional-preserve-short-token-or-label	Short product label, token, or non-sentence text preserved.
2710	19244	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleCopyOnSelect	ToggleCopyOnSelect	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2711	19250	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleOpenLinksInDesktopApp	ToggleOpenLinksInDesktopApp	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
2712	19256	settings	app/src/settings_view/features_page.rs	target-and-source-present	ToggleSnackbar	ToggleSnackbar	intentional-preserve-telemetry-feature-id	CamelCase action, telemetry, feature, or enum identifier should not be localized.
