entry_index	manifest_line	module_group	path	source_state	risk_tags	token_status	functional_status	public_rc_rows	decision	rationale
1	7	onboarding	crates/onboarding/src/slides/intro_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
2	14	onboarding	crates/onboarding/src/slides/intro_slide.rs	target-present	auth-login	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
3	21	onboarding	crates/onboarding/src/slides/intro_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
4	28	onboarding	crates/onboarding/src/slides/intro_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
5	35	onboarding	crates/onboarding/src/slides/intro_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
6	42	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
7	49	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
8	56	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
9	63	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
10	70	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
11	77	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
12	84	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present	terminal-command	clean	clean		preserve-intentional-token-safe	Risk tags present but token audit is clean; preserve placeholders, commands, URLs, endpoints, or account-state text.
13	91	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
14	98	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
15	105	onboarding	crates/onboarding/src/slides/intention_slide.rs	target-and-source-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
16	112	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
17	119	onboarding	crates/onboarding/src/slides/customize_slide.rs	target-present		clean	clean		accepted-functional-clean	No functional token/source-state risk detected.
